|      | Madvare                                                                 | Kategori                                   | Enhed                                                 | Konverteringsfaktor   |
|  391 | Svinekotelet, uden ben, 2 cm tyk                                        | Svinekød                                   | rå vægt, g netto/brutto                               | 125                   |
|  392 | Svinekotelet, uden ben, 3 cm tyk                                        | Svinekød                                   | rå vægt, g netto/brutto                               | 190                   |
|  393 | Svinemørbrad                                                            | Svinekød                                   | rå vægt, g netto/brutto                               | 475.0                 |
|  394 | Svinebryst i skiver, kogestykke, med svær, 1 cm tyk (til paneret flæsk) | Svinekød                                   | ikke spiselig del, ben osv, %                         | 2                     |
|  395 | Svinekotelet, med ben, 2,5-3 cm tyk - skaftkotelet                      | Svinekød                                   | ikke spiselig del, ben osv, %                         | 8                     |
|  396 | Culotte                                                                 | Oksekød                                    | tilberedt spiselig del vægt, g                        | 1350.0                |
|  397 | Grydesteg (tykkam)                                                      | Oksekød                                    | tilberedt spiselig del vægt, g                        | 750.0                 |
|  398 | Roastbeef (inderlår)                                                    | Oksekød                                    | tilberedt spiselig del vægt, g                        | 935.0                 |
|  399 | Roastbeef (tykstegsfilet)                                               | Oksekød                                    | tilberedt spiselig del vægt, g                        | 880.0                 |
|  400 | Tyndstegsfilet                                                          | Oksekød                                    | tilberedt spiselig del vægt, g                        | 1742.5                |
|  401 | Benløse fugle, ½ cm tyk (inderlår, klump), pr. skive                    | Oksekød                                    | rå vægt, g netto/brutto                               | 100                   |
|  402 | Bøf, 2 cm tyk (af filet uden fedt el. tykstegsfilet)                    | Oksekød                                    | rå vægt, g netto/brutto                               | 175.0                 |
|  403 | Bøf, 2 cm tyk (mørbrad)                                                 | Oksekød                                    | rå vægt, g netto/brutto                               | 150                   |
|  404 | Bøf, 2 cm tyk (tyndstegsfilet)                                          | Oksekød                                    | rå vægt, g netto/brutto                               | 150.0                 |
|  405 | Chateaubriand, 8 cm lang (mørbrad)                                      | Oksekød                                    | rå vægt, g netto/brutto                               | 450                   |
|  406 | Culotte                                                                 | Oksekød                                    | rå vægt, g netto/brutto                               | 1500.0                |
|  407 | Cuvette                                                                 | Oksekød                                    | rå vægt, g netto/brutto                               | 900.0                 |
|  408 | Entrecote, 2 cm tyk (filet m/fedt)                                      | Oksekød                                    | rå vægt, g netto/brutto                               | 187.5                 |
|  409 | Filet, uden fedt                                                        | Oksekød                                    | rå vægt, g netto/brutto                               | 3000                  |
|  410 | Flanksteak                                                              | Oksekød                                    | rå vægt, g netto/brutto                               | 750.0                 |
|  411 | Grydesteg (tykkam)                                                      | Oksekød                                    | rå vægt, g netto/brutto                               | 1250.0                |
|  412 | Longrib, pr. skive (tværreb)                                            | Oksekød                                    | rå vægt, g netto/brutto                               | 175                   |
|  413 | Medaljoner, 4 cm tyk (tykstegsfilet)                                    | Oksekød                                    | rå vægt, g netto/brutto                               | 175.0                 |
|  414 | Mørbrad                                                                 | Oksekød                                    | rå vægt, g netto/brutto                               | 2000                  |
|  415 | Osso buco, 2-3 cm tyk (skank), pr. skive                                | Oksekød                                    | rå vægt, g netto/brutto                               | 165                   |
|  416 | Ribeye, 2 cm tyk (marmoreret filet)                                     | Oksekød                                    | rå vægt, g netto/brutto                               | 212.5                 |
|  417 | Roastbeef (inderlår)                                                    | Oksekød                                    | rå vægt, g netto/brutto                               | 1100.0                |
|  418 | Roastbeef (tykstegsfilet)                                               | Oksekød                                    | rå vægt, g netto/brutto                               | 1100.0                |
|  419 | Spidsbryst, alm. pakkestørrelse                                         | Oksekød                                    | rå vægt, g netto/brutto                               | 350.0                 |
|  420 | Steak, 1½ cm tyk (inderlår)                                             | Oksekød                                    | rå vægt, g netto/brutto                               | 150.0                 |
|  421 | T-bone steak, 2-3 cm (tyndsteg,)                                        | Oksekød                                    | rå vægt, g netto/brutto                               | *                     |
|  422 | Tournedos, 3-4 cm tyk (mørbrad) omviklet m/bacon el. skinke             | Oksekød                                    | rå vægt, g netto/brutto                               | 225.0                 |
|  423 | Tværreb, alm. pakkestørrelse                                            | Oksekød                                    | rå vægt, g netto/brutto                               | 747.5                 |
|  424 | Tykbryst, alm. pakkestørrelse                                           | Oksekød                                    | rå vægt, g netto/brutto                               | 725.0                 |
|  425 | Tyndbryst, alm. pakkestørrelse                                          | Oksekød                                    | rå vægt, g netto/brutto                               | 812.5                 |
|  426 | Tyndstegsfilet                                                          | Oksekød                                    | rå vægt, g netto/brutto                               | 2150.0                |
|  427 | Longrib, pr. skive (tværreb)                                            | Oksekød                                    | ikke spiselig del, ben osv, %                         | 32                    |
|  428 | Osso buco, 2-3 cm tyk (skank), pr. skive                                | Oksekød                                    | ikke spiselig del, ben osv, %                         | 34                    |
|  429 | Spidsbryst, alm. pakkestørrelse                                         | Oksekød                                    | ikke spiselig del, ben osv, %                         | 65                    |
|  430 | Tværreb, alm. pakkestørrelse                                            | Oksekød                                    | ikke spiselig del, ben osv, %                         | 32                    |
|  431 | Tykbryst, alm. pakkestørrelse                                           | Oksekød                                    | ikke spiselig del, ben osv, %                         | 42                    |
|  432 | Tyndbryst, alm. pakkestørrelse                                          | Oksekød                                    | ikke spiselig del, ben osv, %                         | 35                    |
|  433 | Culotte                                                                 | Kalvekød                                   | rå vægt, g netto/brutto                               | 1050.0                |
|  434 | Cuvette                                                                 | Kalvekød                                   | rå vægt, g netto/brutto                               | 750.0                 |
|  435 | Filet, uden fedt                                                        | Kalvekød                                   | rå vægt, g netto/brutto                               | 2500                  |
|  436 | Flanksteak                                                              | Kalvekød                                   | rå vægt, g netto/brutto                               | 650.0                 |
|  437 | Grydesteg (tykkam)                                                      | Kalvekød                                   | rå vægt, g netto/brutto                               | 1250.0                |
|  438 | Hjerte, hel                                                             | Kalvekød                                   | rå vægt, g netto/brutto                               | *                     |
|  439 | Koteletter (filet med fedt)                                             | Kalvekød                                   | rå vægt, g netto/brutto                               | 150.0                 |
|  440 | Lever, i skiver, ½-1 cm tyk                                             | Kalvekød                                   | rå vægt, g netto/brutto                               | 80                    |
|  441 | Lever, hel                                                              | Kalvekød                                   | rå vægt, g netto/brutto                               | *                     |
|  442 | Medaljon (filet uden fedt, mørbrad)                                     | Kalvekød                                   | rå vægt, g netto/brutto                               | 162.5                 |
|  443 | Mørbrad                                                                 | Kalvekød                                   | rå vægt, g netto/brutto                               | 1500                  |
|  444 | Osso Buco (skank) pr. skive                                             | Kalvekød                                   | rå vægt, g netto/brutto                               | 130                   |
|  445 | Ribeye (marmoreret filet/kalvekam)                                      | Kalvekød                                   | rå vægt, g netto/brutto                               | 175.0                 |
|  446 | Schnitzler (filet uden fedt, inderlår)                                  | Kalvekød                                   | rå vægt, g netto/brutto                               | 150.0                 |
|  447 | Spidsbryst, alm. pakkestørrelse                                         | Kalvekød                                   | rå vægt, g netto/brutto                               | 447.5                 |
|  448 | T-bone (tyndsteg)                                                       | Kalvekød                                   | rå vægt, g netto/brutto                               | *                     |
|  449 | Tunge                                                                   | Kalvekød                                   | rå vægt, g netto/brutto                               | *                     |
|  450 | Tyndstegsfilet                                                          | Kalvekød                                   | rå vægt, g netto/brutto                               | 1800.0                |
|  451 | Osso Buco (skank) pr. skive                                             | Kalvekød                                   | ikke spiselig del, ben osv, %                         | 34                    |
|  452 | Spidsbryst, alm. pakkestørrelse                                         | Kalvekød                                   | ikke spiselig del, ben osv, %                         | 65                    |
|  453 | Lammekølle, røget                                                       | Lammekød                                   | tilberedt spiselig del vægt, g                        | 1200                  |
|  454 | Lammeculotte                                                            | Lammekød                                   | rå vægt, g netto/brutto                               | 550.0                 |
|  455 | Lammefilet                                                              | Lammekød                                   | rå vægt, g netto/brutto                               | 250                   |
|  456 | Lammekølle                                                              | Lammekød                                   | rå vægt, g netto/brutto                               | *                     |
|  457 | Lammemørbrad                                                            | Lammekød                                   | rå vægt, g netto/brutto                               | 200                   |
|  458 | Krondyrmørbrad, frost                                                   | Vildt                                      | rå vægt, g netto/brutto                               | 325                   |
|  459 | Krondyrryg, frost                                                       | Vildt                                      | rå vægt, g netto/brutto                               | *                     |
|  460 | Rådyrkølle, frost                                                       | Vildt                                      | rå vægt, g netto/brutto                               | *                     |
|  461 | Vildsvinekølle med ben, frost                                           | Vildt                                      | rå vægt, g netto/brutto                               | *                     |
|  462 | Kyllet, frost                                                           | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 55                    |
|  463 | Kylling, brystfilet, rå                                                 | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 110                   |
|  464 | Kylling, hel, rå                                                        | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 810.0                 |
|  465 | Kylling, inderfilet, rå                                                 | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 30                    |
|  466 | Kylling, lår uden rygben, rå                                            | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 145                   |
|  467 | Kylling, overlår med rygben, frost                                      | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 35                    |
|  468 | Kylling, overlår med rygben, rå,                                        | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 75                    |
|  469 | Kylling, overlår, rå                                                    | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 70                    |
|  470 | Kylling, underlår, rå                                                   | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 40                    |
|  471 | Kyllingenuggets, frost                                                  | Kylling                                    | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 40                    |
|  472 | Kyllet, frost                                                           | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 60                    |
|  473 | Kylling, brystfilet, rå                                                 | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 140                   |
|  474 | Kylling, cordon bleu, frost                                             | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 125                   |
|  475 | Kylling, hel, rå                                                        | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 1015.0                |
|  476 | Kylling, inderfilet, rå                                                 | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 40                    |
|  477 | Kylling, lår med rygben, rå                                             | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | *                     |
|  478 | Kylling, lår uden rygben, rå                                            | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 190                   |
|  479 | Kylling, overlår med rygben, frost                                      | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 55                    |
|  480 | Kylling, overlår med rygben, rå,                                        | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 120                   |
|  481 | Kylling, overlår, rå                                                    | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 80                    |
|  482 | Kylling, underlår, rå                                                   | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 45                    |
|  483 | Kyllingebryststeg, rå                                                   | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | *                     |
|  484 | Kyllingenuggets, frost                                                  | Kylling                                    | rå vægt, g netto/brutto (inkl. skind og fedt)         | 45                    |
|  485 | Kylling, brystfilet, rå                                                 | Kylling                                    | andel af kød, i % af rå vægt                          | 100                   |
|  486 | Kylling, hel, rå                                                        | Kylling                                    | andel af kød, i % af rå vægt                          | 58                    |
|  487 | Kylling, inderfilet, rå                                                 | Kylling                                    | andel af kød, i % af rå vægt                          | 100                   |
|  488 | Kylling, lår uden rygben, rå                                            | Kylling                                    | andel af kød, i % af rå vægt                          | 62                    |
|  489 | Kylling, overlår med rygben, frost                                      | Kylling                                    | andel af kød, i % af rå vægt                          | 44                    |
|  490 | Kylling, overlår med rygben, rå,                                        | Kylling                                    | andel af kød, i % af rå vægt                          | 44                    |
|  491 | Kylling, overlår, rå                                                    | Kylling                                    | andel af kød, i % af rå vægt                          | 64                    |
|  492 | Kylling, underlår, rå                                                   | Kylling                                    | andel af kød, i % af rå vægt                          | 60                    |
|  493 | Kyllet, frost                                                           | Kylling                                    | andel af ben, i % af rå vægt                          | 0                     |
|  494 | Kylling, brystfilet, rå                                                 | Kylling                                    | andel af ben, i % af rå vægt                          | 0                     |
|  495 | Kylling, cordon bleu, frost                                             | Kylling                                    | andel af ben, i % af rå vægt                          | 0                     |
|  496 | Kylling, hel, rå                                                        | Kylling                                    | andel af ben, i % af rå vægt                          | 30                    |
|  497 | Kylling, inderfilet, rå                                                 | Kylling                                    | andel af ben, i % af rå vægt                          | 0                     |
|  498 | Kylling, lår uden rygben, rå                                            | Kylling                                    | andel af ben, i % af rå vægt                          | 26                    |
|  499 | Kylling, overlår med rygben, frost                                      | Kylling                                    | andel af ben, i % af rå vægt                          | 36                    |
|  500 | Kylling, overlår med rygben, rå,                                        | Kylling                                    | andel af ben, i % af rå vægt                          | 36                    |
|  501 | Kylling, overlår, rå                                                    | Kylling                                    | andel af ben, i % af rå vægt                          | 18                    |
|  502 | Kylling, underlår, rå                                                   | Kylling                                    | andel af ben, i % af rå vægt                          | 35                    |
|  503 | Kyllet, frost                                                           | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 0                     |
|  504 | Kylling, brystfilet, rå                                                 | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 0                     |
|  505 | Kylling, cordon bleu, frost                                             | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 0                     |
|  506 | Kylling, hel, rå                                                        | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 12                    |
|  507 | Kylling, inderfilet, rå                                                 | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 0                     |
|  508 | Kylling, lår uden rygben, rå                                            | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 12                    |
|  509 | Kylling, overlår med rygben, frost                                      | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 20                    |
|  510 | Kylling, overlår med rygben, rå,                                        | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 20                    |
|  511 | Kylling, overlår, rå                                                    | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 18                    |
|  512 | Kylling, underlår, rå                                                   | Kylling                                    | andel af skind/fedt, i % af rå vægt **                | 5                     |
|  513 | And, hel, rå                                                            | And                                        | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 1240                  |
|  514 | Andebryst, med skind og fedt                                            | And                                        | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 185                   |
|  515 | Andebryst, uden skind og fedt                                           | And                                        | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 155                   |
|  516 | Skind og fedt fra andebryst                                             | And                                        | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 12                    |
|  517 | Andebryst, røget                                                        | And                                        | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 180                   |
|  518 | Andelår, rå                                                             | And                                        | tilberedt spiselig del, vægt, g (inkl. skind og fedt) | 125                   |
|  519 | And, hel, rå                                                            | And                                        | rå vægt, g netto/brutto (inkl. skind og fedt)         | 2070                  |
|  520 | Andebryst, med skind og fedt                                            | And                                        | rå vægt, g netto/brutto (inkl. skind og fedt)         | 265                   |
|  521 | Andebryst, uden skind og fedt                                           | And                                        | rå vægt, g netto/brutto (inkl. skind og fedt)         | 185                   |
|  522 | Skind og fedt fra andebryst                                             | And                                        | rå vægt, g netto/brutto (inkl. skind og fedt)         | 80                    |
|  523 | Andebryststeg, frost                                                    | And                                        | rå vægt, g netto/brutto (inkl. skind og fedt)         | *                     |
|  524 | Andelår, rå                                                             | And                                        | rå vægt, g netto/brutto (inkl. skind og fedt)         | 195                   |
|  525 | And, hel, rå                                                            | And                                        | andel af kød, i % af rå vægt                          | 36                    |
|  526 | Andebryst, med skind og fedt                                            | And                                        | andel af kød, i % af rå vægt                          | 70                    |
|  527 | Andebryst, uden skind og fedt                                           | And                                        | andel af kød, i % af rå vægt                          | 100                   |
|  528 | Skind og fedt fra andebryst                                             | And                                        | andel af kød, i % af rå vægt                          | 0                     |
|  529 | Andelår, rå                                                             | And                                        | andel af kød, i % af rå vægt                          | 52                    |
|  530 | And, hel, rå                                                            | And                                        | andel af ben, i % af rå vægt                          | 31                    |
|  531 | Andebryst, med skind og fedt                                            | And                                        | andel af ben, i % af rå vægt                          | 0                     |
|  532 | Andebryst, uden skind og fedt                                           | And                                        | andel af ben, i % af rå vægt                          | 0                     |
|  533 | Skind og fedt fra andebryst                                             | And                                        | andel af ben, i % af rå vægt                          | 0                     |
|  534 | Andebryst, røget                                                        | And                                        | andel af ben, i % af rå vægt                          | 0                     |
|  535 | Andelår, rå                                                             | And                                        | andel af ben, i % af rå vægt                          | 18                    |
|  536 | And, hel, rå                                                            | And                                        | andel af skind/fedt, i % af rå vægt **                | 33                    |
|  537 | Andebryst, med skind og fedt                                            | And                                        | andel af skind/fedt, i % af rå vægt **                | 30                    |
|  538 | Andebryst, uden skind og fedt                                           | And                                        | andel af skind/fedt, i % af rå vægt **                | 0                     |
|  539 | Skind og fedt fra andebryst                                             | And                                        | andel af skind/fedt, i % af rå vægt **                | 100                   |
|  540 | Andelår, rå                                                             | And                                        | andel af skind/fedt, i % af rå vægt **                | 30                    |
|  541 | Gås, frilands, frost                                                    | Fjerkræ, blandet                           | tilberedt spiselig del vægt, g                        | 2315                  |
|  542 | Høne, frost                                                             | Fjerkræ, blandet                           | tilberedt spiselig del vægt, g                        | 1600                  |
|  543 | Kalkun, hel, frost                                                      | Fjerkræ, blandet                           | tilberedt spiselig del vægt, g                        | 2420                  |
|  544 | Agerhøne, frost                                                         | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  545 | Bornholmerunghane, rå                                                   | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  546 | Due, hel, frost                                                         | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  547 | Fasanbryst med skind, uden ben, rå                                      | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 200                   |
|  548 | Fasanhøne, flået, rå                                                    | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  549 | Fasankok, plukket, rå                                                   | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  550 | Gråand, hel, rå                                                         | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  551 | Gråandefilet                                                            | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 200                   |
|  552 | Gås, frilands, frost                                                    | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 3310                  |
|  553 | Gåsebryststeg, frost                                                    | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  554 | Høne, frost                                                             | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 2130                  |
|  555 | Kalkun, bryst, rå                                                       | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 1600                  |
|  556 | Kalkun, cordon bleu (paneret), frost                                    | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 145                   |
|  557 | Kalkun, cuvette, rå                                                     | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 900.0                 |
|  558 | Kalkun, hel, frost                                                      | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 3455                  |
|  559 | Kalkun, medaillon, rå                                                   | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 150                   |
|  560 | Kalkun, schnitzel, rå                                                   | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 125                   |
|  561 | Perlehønebryst, rå                                                      | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | 150                   |
|  562 | Poussin, frost                                                          | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  563 | Vagtel, frost                                                           | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  564 | Vildand, rå                                                             | Fjerkræ, blandet                           | rå vægt, g netto/ brutto                              | *                     |
|  565 | Fasanbryst med skind, uden ben, rå                                      | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  566 | Gråandefilet                                                            | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  567 | Gås, frilands, frost                                                    | Fjerkræ, blandet                           | spiselig del, i %                                     | 72                    |
|  568 | Høne, frost                                                             | Fjerkræ, blandet                           | spiselig del, i %                                     | 76                    |
|  569 | Kalkun, bryst, rå                                                       | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  570 | Kalkun, cordon bleu (paneret), frost                                    | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  571 | Kalkun, cuvette, rå                                                     | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  572 | Kalkun, hel, frost                                                      | Fjerkræ, blandet                           | spiselig del, i %                                     | 72                    |
|  573 | Kalkun, medaillon, rå                                                   | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  574 | Kalkun, schnitzel, rå                                                   | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  575 | Perlehønebryst, rå                                                      | Fjerkræ, blandet                           | spiselig del, i %                                     | 100                   |
|  576 | Ansjos, filet, konserves                                                | Fisk                                       | tilberedt spiselig del vægt, g                        | 6                     |
|  577 | Blæksprutte, ring, friturestegt                                         | Fisk                                       | tilberedt spiselig del vægt, g                        | 20                    |
|  578 | Fiskebolle, konserves                                                   | Fisk                                       | tilberedt spiselig del vægt, g                        | 4                     |
|  579 | Fiskefilet, paneret, frost                                              | Fisk                                       | tilberedt spiselig del vægt, g                        | 70                    |
|  580 | Fiskefrikadelle                                                         | Fisk                                       | tilberedt spiselig del vægt, g                        | 60                    |
|  581 | Fiskefrikadelle, mini                                                   | Fisk                                       | tilberedt spiselig del vægt, g                        | 25                    |
|  582 | Fiskepind, frost                                                        | Fisk                                       | tilberedt spiselig del vægt, g                        | 20                    |
|  583 | Fiskespyd, frost                                                        | Fisk                                       | tilberedt spiselig del vægt, g                        | 90.0                  |
|  584 | Fisketapas                                                              | Fisk                                       | tilberedt spiselig del vægt, g                        | 50                    |
|  585 | Fladfisk (rødspætte/skrubbe), filet, rå                                 | Fisk                                       | tilberedt spiselig del vægt, g                        | 55                    |
|  586 | Fladfisk (rødspætte/skrubbe), hel fisk, rå                              | Fisk                                       | tilberedt spiselig del vægt, g                        | 130                   |
|  587 | Forel, hel, rå                                                          | Fisk                                       | tilberedt spiselig del vægt, g                        | 120                   |
|  588 | Hellefisk, filet, frost                                                 | Fisk                                       | tilberedt spiselig del vægt, g                        | 440.0                 |
|  589 | Hellefisk, hel side, røget                                              | Fisk                                       | tilberedt spiselig del vægt, g                        | 1150.0                |
|  590 | Hellefisk, loin, frost                                                  | Fisk                                       | tilberedt spiselig del vægt, g                        | 80                    |
|  591 | Hornfisk, filet, rå                                                     | Fisk                                       | tilberedt spiselig del vægt, g                        | 200                   |
|  592 | Kippers, konserves                                                      | Fisk                                       | tilberedt spiselig del vægt, g                        | 70                    |
|  593 | Laks, portion, uden skind, frost                                        | Fisk                                       | tilberedt spiselig del vægt, g                        | 80                    |
|  594 | Laks, røget, hel side                                                   | Fisk                                       | tilberedt spiselig del vægt, g                        | 1150.0                |
|  595 | Laks, steak/filet, med skind, rå                                        | Fisk                                       | tilberedt spiselig del vægt, g                        | 80                    |
|  596 | Makrel, filet, røget                                                    | Fisk                                       | tilberedt spiselig del vægt, g                        | 125                   |
|  597 | Makrel, hel, røget                                                      | Fisk                                       | tilberedt spiselig del vægt, g                        | 280                   |
|  598 | Makrel, hel, rå                                                         | Fisk                                       | tilberedt spiselig del vægt, g                        | 290                   |
|  599 | Sardin, konserves (i tomat/olie)                                        | Fisk                                       | tilberedt spiselig del vægt, g                        | 20                    |
|  600 | Sej, filet, frost                                                       | Fisk                                       | tilberedt spiselig del vægt, g                        | 227.5                 |
|  601 | Sild, filet, marineret                                                  | Fisk                                       | tilberedt spiselig del vægt, g                        | 60                    |
|  602 | Sild, filet, paneret, frost                                             | Fisk                                       | tilberedt spiselig del vægt, g                        | 80                    |
|  603 | Sild, filet, røget                                                      | Fisk                                       | tilberedt spiselig del vægt, g                        | 75                    |
|  604 | Sild, filet, rå                                                         | Fisk                                       | tilberedt spiselig del vægt, g                        | 70                    |
