|      | Madvare                                                                 | Kategori                                   | Enhed                                                 | Konverteringsfaktor   |
|   71 | Sandwichbrød, fuldkorn, skive                                           | Brød                                       | stor                                                  | 55                    |
|   72 | Sandwichflute                                                           | Brød                                       | stor                                                  | 120                   |
|   73 | Tartelet                                                                | Brød                                       | stor                                                  | 20                    |
|   74 | Tortilla                                                                | Brød                                       | stor                                                  | 60                    |
|   75 | Grissini (10 g=18 cm lang, 1,2 cm Ø)                                    | Kiks                                       | lille                                                 | 1                     |
|   76 | Kiks, ris                                                               | Kiks                                       | lille                                                 | 3                     |
|   77 | Kiks, ris med chokolade                                                 | Kiks                                       | lille                                                 | 4                     |
|   78 | Grissini (10 g=18 cm lang, 1,2 cm Ø)                                    | Kiks                                       | mellem                                                | 10                    |
|   79 | Kammerjunker                                                            | Kiks                                       | mellem                                                | 4                     |
|   80 | Kiks, Alt i en                                                          | Kiks                                       | mellem                                                | 17                    |
|   81 | Kiks, chokolade (dobbelt)                                               | Kiks                                       | mellem                                                | 15                    |
|   82 | Kiks, digestive                                                         | Kiks                                       | mellem                                                | 15                    |
|   83 | Kiks, digestive med chokolade                                           | Kiks                                       | mellem                                                | 17                    |
|   84 | Kiks, havrekiks, store                                                  | Kiks                                       | mellem                                                | 15                    |
|   85 | Kiks, Marie                                                             | Kiks                                       | mellem                                                | 4                     |
|   86 | Kiks, Marie med chokolade                                               | Kiks                                       | mellem                                                | 7                     |
|   87 | Kiks, ris                                                               | Kiks                                       | mellem                                                | 7                     |
|   88 | Kiks, ris med chokolade                                                 | Kiks                                       | mellem                                                | 10                    |
|   89 | Kiks, riskagesandwich med chokolade                                     | Kiks                                       | mellem                                                | 20                    |
|   90 | Kiks, salt, Tuc                                                         | Kiks                                       | mellem                                                | 4                     |
|   91 | Kiks, til ost                                                           | Kiks                                       | mellem                                                | 10                    |
|   92 | Skorpe                                                                  | Kiks                                       | mellem                                                | 10                    |
|   93 | Tvebak                                                                  | Kiks                                       | mellem                                                | 10                    |
|   94 | Grissini (10 g=18 cm lang, 1,2 cm Ø)                                    | Kiks                                       | stor                                                  | 15                    |
|   95 | Kiks, ris                                                               | Kiks                                       | stor                                                  | 10                    |
|   96 | Kiks, ris med chokolade                                                 | Kiks                                       | stor                                                  | 17                    |
|   97 | Boghvede                                                                | Mel, gryn, korn                            | dl                                                    | 80                    |
|   98 | Bulgur                                                                  | Mel, gryn, korn                            | dl                                                    | 75                    |
|   99 | Byggryn, fine                                                           | Mel, gryn, korn                            | dl                                                    | 55                    |
|  100 | Byggryn, mellemfine                                                     | Mel, gryn, korn                            | dl                                                    | 60                    |
|  101 | Cous cous                                                               | Mel, gryn, korn                            | dl                                                    | 75                    |
|  102 | Fuldkornsmel                                                            | Mel, gryn, korn                            | dl                                                    | 60                    |
|  103 | Grahamsmel                                                              | Mel, gryn, korn                            | dl                                                    | 60                    |
|  104 | Havregryn                                                               | Mel, gryn, korn                            | dl                                                    | 35                    |
|  105 | Havreklid                                                               | Mel, gryn, korn                            | dl                                                    | 35                    |
|  106 | Hirse, hel                                                              | Mel, gryn, korn                            | dl                                                    | 80                    |
|  107 | Hirseflager                                                             | Mel, gryn, korn                            | dl                                                    | 40                    |
|  108 | Hvedekerner, hele                                                       | Mel, gryn, korn                            | dl                                                    | 75                    |
|  109 | Hvedekerner, knækkede                                                   | Mel, gryn, korn                            | dl                                                    | 55                    |
|  110 | Hvedekim                                                                | Mel, gryn, korn                            | dl                                                    | 30                    |
|  111 | Hvedeklid, fint                                                         | Mel, gryn, korn                            | dl                                                    | 35                    |
|  112 | Hvedemel                                                                | Mel, gryn, korn                            | dl                                                    | 60                    |
|  113 | Kartoffelmel                                                            | Mel, gryn, korn                            | dl                                                    | 70                    |
|  114 | Majsmel                                                                 | Mel, gryn, korn                            | dl                                                    | 65                    |
|  115 | Majsstivelse (Maizena®)                                                 | Mel, gryn, korn                            | dl                                                    | 50                    |
|  116 | Mannagryn                                                               | Mel, gryn, korn                            | dl                                                    | 70                    |
|  117 | Perlebyg                                                                | Mel, gryn, korn                            | dl                                                    | 70                    |
|  118 | Quinoa                                                                  | Mel, gryn, korn                            | dl                                                    | 70                    |
|  119 | Rasp                                                                    | Mel, gryn, korn                            | dl                                                    | 45                    |
|  120 | Ris, brune                                                              | Mel, gryn, korn                            | dl                                                    | 85                    |
|  121 | Ris, grød                                                               | Mel, gryn, korn                            | dl                                                    | 90                    |
|  122 | Ris, løse (alle slags)                                                  | Mel, gryn, korn                            | dl                                                    | 80                    |
|  123 | Rismel                                                                  | Mel, gryn, korn                            | dl                                                    | 65                    |
|  124 | Rugkerner, hele                                                         | Mel, gryn, korn                            | dl                                                    | 75                    |
|  125 | Rugkerner, knækkede                                                     | Mel, gryn, korn                            | dl                                                    | 55                    |
|  126 | Rugmel                                                                  | Mel, gryn, korn                            | dl                                                    | 50                    |
|  127 | Sagogryn                                                                | Mel, gryn, korn                            | dl                                                    | 65                    |
|  128 | Semuljegryn                                                             | Mel, gryn, korn                            | dl                                                    | 70                    |
|  129 | Sigtemel                                                                | Mel, gryn, korn                            | dl                                                    | 50                    |
|  130 | Speltkerner                                                             | Mel, gryn, korn                            | dl                                                    | 70                    |
|  131 | Boghvede                                                                | Mel, gryn, korn                            | spsk                                                  | 12                    |
|  132 | Bulgur                                                                  | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  133 | Byggryn, fine                                                           | Mel, gryn, korn                            | spsk                                                  | 8                     |
|  134 | Byggryn, mellemfine                                                     | Mel, gryn, korn                            | spsk                                                  | 9                     |
|  135 | Cous cous                                                               | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  136 | Fuldkornsmel                                                            | Mel, gryn, korn                            | spsk                                                  | 9                     |
|  137 | Grahamsmel                                                              | Mel, gryn, korn                            | spsk                                                  | 9                     |
|  138 | Havregryn                                                               | Mel, gryn, korn                            | spsk                                                  | 5                     |
|  139 | Havreklid                                                               | Mel, gryn, korn                            | spsk                                                  | 5                     |
|  140 | Hirse, hel                                                              | Mel, gryn, korn                            | spsk                                                  | 12                    |
|  141 | Hirseflager                                                             | Mel, gryn, korn                            | spsk                                                  | 6                     |
|  142 | Hvedekerner, hele                                                       | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  143 | Hvedekerner, knækkede                                                   | Mel, gryn, korn                            | spsk                                                  | 8                     |
|  144 | Hvedekim                                                                | Mel, gryn, korn                            | spsk                                                  | 5                     |
|  145 | Hvedeklid, fint                                                         | Mel, gryn, korn                            | spsk                                                  | 5                     |
|  146 | Hvedemel                                                                | Mel, gryn, korn                            | spsk                                                  | 9                     |
|  147 | Kartoffelmel                                                            | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  148 | Majsmel                                                                 | Mel, gryn, korn                            | spsk                                                  | 10                    |
|  149 | Majsstivelse (Maizena®)                                                 | Mel, gryn, korn                            | spsk                                                  | 8                     |
|  150 | Mannagryn                                                               | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  151 | Perlebyg                                                                | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  152 | Quinoa                                                                  | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  153 | Rasp                                                                    | Mel, gryn, korn                            | spsk                                                  | 7                     |
|  154 | Ris, brune                                                              | Mel, gryn, korn                            | spsk                                                  | 13                    |
|  155 | Ris, grød                                                               | Mel, gryn, korn                            | spsk                                                  | 14                    |
|  156 | Ris, løse (alle slags)                                                  | Mel, gryn, korn                            | spsk                                                  | 12                    |
|  157 | Rismel                                                                  | Mel, gryn, korn                            | spsk                                                  | 10                    |
|  158 | Rugkerner, hele                                                         | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  159 | Rugkerner, knækkede                                                     | Mel, gryn, korn                            | spsk                                                  | 8                     |
|  160 | Rugmel                                                                  | Mel, gryn, korn                            | spsk                                                  | 8                     |
|  161 | Sagogryn                                                                | Mel, gryn, korn                            | spsk                                                  | 10                    |
|  162 | Semuljegryn                                                             | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  163 | Sigtemel                                                                | Mel, gryn, korn                            | spsk                                                  | 8                     |
|  164 | Speltkerner                                                             | Mel, gryn, korn                            | spsk                                                  | 11                    |
|  165 | Boghvede                                                                | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  166 | Bulgur                                                                  | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  167 | Byggryn, fine                                                           | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  168 | Byggryn, mellemfine                                                     | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  169 | Cous cous                                                               | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  170 | Fuldkornsmel                                                            | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  171 | Grahamsmel                                                              | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  172 | Havregryn                                                               | Mel, gryn, korn                            | tsk                                                   | 2                     |
|  173 | Havreklid                                                               | Mel, gryn, korn                            | tsk                                                   | 2                     |
|  174 | Hirse, hel                                                              | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  175 | Hirseflager                                                             | Mel, gryn, korn                            | tsk                                                   | 2                     |
|  176 | Hvedekerner, hele                                                       | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  177 | Hvedekerner, knækkede                                                   | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  178 | Hvedekim                                                                | Mel, gryn, korn                            | tsk                                                   | 2                     |
|  179 | Hvedeklid, fint                                                         | Mel, gryn, korn                            | tsk                                                   | 2                     |
|  180 | Hvedemel                                                                | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  181 | Kartoffelmel                                                            | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  182 | Majsmel                                                                 | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  183 | Majsstivelse (Maizena®)                                                 | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  184 | Mannagryn                                                               | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  185 | Perlebyg                                                                | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  186 | Quinoa                                                                  | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  187 | Rasp                                                                    | Mel, gryn, korn                            | tsk                                                   | 2                     |
|  188 | Ris, brune                                                              | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  189 | Ris, grød                                                               | Mel, gryn, korn                            | tsk                                                   | 5                     |
|  190 | Ris, løse (alle slags)                                                  | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  191 | Rismel                                                                  | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  192 | Rugkerner, hele                                                         | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  193 | Rugkerner, knækkede                                                     | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  194 | Rugmel                                                                  | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  195 | Sagogryn                                                                | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  196 | Semuljegryn                                                             | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  197 | Sigtemel                                                                | Mel, gryn, korn                            | tsk                                                   | 3                     |
|  198 | Speltkerner                                                             | Mel, gryn, korn                            | tsk                                                   | 4                     |
|  199 | All-bran plus (hvedeklid, ristet, med malt og sukker)                   | Morgenmadsprodukter                        | dl                                                    | 39                    |
|  200 | All-bran regular (hvedeflager, ristede m/hvedeklid og malt/sukker)      | Morgenmadsprodukter                        | dl                                                    | 17                    |
|  201 | Boghvedegrød                                                            | Morgenmadsprodukter                        | dl                                                    | 100                   |
|  202 | Cornflakes                                                              | Morgenmadsprodukter                        | dl                                                    | 12                    |
|  203 | Cornflakes, frosted                                                     | Morgenmadsprodukter                        | dl                                                    | 17                    |
|  204 | Crüsli (gryn med frugt og nødder, sukker/honning/chokolade)             | Morgenmadsprodukter                        | dl                                                    | 39                    |
|  205 | Guldkorn                                                                | Morgenmadsprodukter                        | dl                                                    | 14                    |
|  206 | Havrefras                                                               | Morgenmadsprodukter                        | dl                                                    | 11                    |
|  207 | Havregryn                                                               | Morgenmadsprodukter                        | dl                                                    | 35                    |
|  208 | Havregrød                                                               | Morgenmadsprodukter                        | dl                                                    | 100                   |
|  209 | Mysli                                                                   | Morgenmadsprodukter                        | dl                                                    | 38                    |
|  210 | Rice Krispies                                                           | Morgenmadsprodukter                        | dl                                                    | 12                    |
|  211 | Risengrød, risvælling                                                   | Morgenmadsprodukter                        | dl                                                    | 110                   |
|  212 | Rugfras                                                                 | Morgenmadsprodukter                        | dl                                                    | 11                    |
|  213 | Speciel K                                                               | Morgenmadsprodukter                        | dl                                                    | 9                     |
